concept_id,preferred_term,fsn
254843006,Familial cancer of breast,Familial cancer of breast (disorder)
254840009,Inflammatory carcinoma of breast,Inflammatory carcinoma of breast (disorder)
254839007,Scirrhous carcinoma of breast,Scirrhous carcinoma of breast (disorder)
254838004,Carcinoma of breast,Carcinoma of breast (disorder)
254837009,Malignant neoplasm of breast,Malignant neoplasm of breast (disorder)
188157005,Malignant neoplasm of overlapping sites of breast,Malignant neoplasm of overlapping sites of breast (disorder)
188050009,Malignant melanoma of breast,Malignant melanoma of breast (disorder)
94544002,Metastatic malignant neoplasm to skin of breast,Metastatic malignant neoplasm to skin of breast (disorder)
94012007,Primary malignant neoplasm of skin of breast,Primary malignant neoplasm of skin of breast (disorder)
93215006,Malignant melanoma of skin of breast,Malignant melanoma of skin of breast (disorder)
